huc8,name,areasqkm,lat,lon
11020003,Fountain,2404.55,38.781175952344746,-104.78045241786683
11020007,Apishapa,2788.23,37.641510929448884,-104.38482137637378
11020009,Upper Arkansas-John Martin Reservoir,9990.09,38.13816770767281,-102.89567054182969
11020008,Horse,3689.95,38.57856348769215,-103.82251943419836
11020005,Upper Arkansas-Lake Meredith,5733.35,38.09906258378818,-103.96069833434392
11020010,Purgatoire,8933.44,37.322229091903154,-104.07593317061315
11020006,Huerfano,4817.55,37.73266966126713,-104.88917074772264
11020002,Upper Arkansas,5970.26,38.35957678889591,-104.98544229796744
