Location_Name,Location_Identifier,Latitude,Longitude
"ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.",USGS-07130500,38.06639635,-102.9324228
SC01706505BBD SCAD-1,USGS-383615104415101,38.60416462,-104.6980288
"ARKANSAS RIVER AT LAS ANIMAS, CO.",USGS-07124000,38.08083994,-103.2196523
SC02106431DCD2,USGS-381531104353602,38.25863889,-104.5934722
"ROCK CREEK ABOVE FORT CARSON RESERVATION, CO",USGS-07105945,38.70749302,-104.8466403
"HORSE CREEK AT MOUTH NEAR LAS ANIMAS, COLO.",USGS-380421103193101,38.07667362,-103.3388232
"SIXMILE CREEK NEAR AVONDALE, CO.",USGS-07110000,38.24639134,-104.3938578
SC01506610ADB2 TH-46,USGS-384540104453601,38.76110614,-104.760528
SC01306230ACC1 CHEROKEE 4,USGS-385323104224001,38.88898611,-104.3784389
SC02006430CDB,USGS-381652104360601,38.28116667,-104.6016944
SC01406314AAA,USGS-385004104242901,38.83731389,-104.4064083
"ARKANSAS RIVER NEAR PORTLAND, CO.",USGS-07099200,38.33722178,-104.9388906
SC01406230ABB QAL46,USGS-384823104224001,38.80646111,-104.3776361
SC01106417BAC DAWMAS23,USGS-390546104350201,39.09616667,-104.5838889
"FORT LYON CANAL NEAR LAS ANIMAS, CO",USGS-380646103125701,38.11277778,-103.2158333
"FOUNTAIN CRK NR N ERIE AVE AND E 13 ST, PUEBLO, CO",USGS-381653104361002,38.28136111,-104.60275
M-37 ARK RIV AT BAXTER,USGS-381530104294600,38.25833596,-104.4966376
COTTONWOOD CR TRIB AT POTOMAC DR AT CO SPINRGS,USGS-385642104433901,38.94511111,-104.7274722
"CROOKED ARROYO NEAR LA JUNTA, CO.",USGS-07122500,37.99862,-103.587445
"BEAVER CREEK ABOVE HIGHWAY 115 NEAR PENROSE, CO",USGS-07099060,38.48916582,-104.9974832
SC01506603CAD1 STRATMOOR HILLS 4,USGS-384617104455901,38.7713836,-104.7669171
FOUNTAIN CR 0.2 MI BLW CRYSTAL CR AT GRN MTN FALLS,USGS-385550105003401,38.93054444,-105.0095139
"FOUNTAIN CR AT CIRCLE DR BEL COLORADO SPRINGS, CO",USGS-07105533,38.79693835,-104.7855289
SC01206319DAD,USGS-385917104285301,38.98788889,-104.4814361
UNNAMED DTCH TO FOUNTAIN CR BLW I25 AT POND CO SP,USGS-384701104465101,38.78372222,-104.7809167
SC01306231ACC Cherokee 1,USGS-385229104223601,38.87507718,-104.3783204
"FOUNTAIN CR BELOW JIMMY CAMP CR NR FOUNTAIN, CO",USGS-383854104413601,38.64844444,-104.6932222
SC01706505BCA2 SCBD-5,USGS-383608104415101,38.6022202,-104.6980288
"TURKEY CREEK NEAR FOUNTAIN, CO",USGS-07099215,38.61166168,-104.894699
"BEAR CREEK NEAR COLORADO SPRINGS, CO",USGS-07105000,38.82249078,-104.8885861
SC01206230BBB ALLUVIAL 2,USGS-385858104231001,38.98292778,-104.3861528
"COTTONWOOD CREEK AT MOUTH AT PIKEVIEW, CO",USGS-07103990,38.92722222,-104.8141667
FOUNTAIN CR DRAIN AT S TEJON ST AT CO SPRNG(CLVRT),USGS-384900104492801,38.81652778,-104.8245833
"ARKANSAS RIVER ABOVE PUEBLO, CO",USGS-07099400,38.27166941,-104.718033
SC01306312ACB2 CHEROKEE 7,USGS-385608104233702,38.93553333,-104.3949083
"KETTLE CR ABV OLD RANCH RD NR COLO SPRGS, CO",USGS-385854104470100,38.98277778,-104.7841667
"LAKE MEREDITH OUTLET AT HWY 71 NR ORDWAY, CO",USGS-07120480,38.19944444,-103.7105556
"JIMMY CAMP CREEK AT FOUNTAIN, CO.",USGS-07105900,38.6844413,-104.688583
SHOOKS RUN TRIB AT COLO SPRINGS (CULVERT TO DITCH),USGS-384959104481401,38.83305556,-104.8038889
PUEBLO RESERVOIR SITE 2B,USGS-381754104504000,38.29833583,-104.8449811
"ARKANSAS RIVER NEAR GRANADA, CO.",USGS-07134180,38.09556492,-102.3107453
SC01206307ABA,USGS-390134104290201,39.02601389,-104.483825
"ARKANSAS RIVER AT PORTLAND, CO.",USGS-07097000,38.38833418,-105.0160961
SC01506324CBB CHEROKEE 13,USGS-384345104241401,38.72916389,-104.4037167
MONUMENT CR DRAIN PIKEVIEW RES AT CO SPRNG (CLVRT),USGS-385349104491201,38.89694444,-104.8200278
"WILD HORSE CREEK ABOVE HOLLY, CO",USGS-07134990,38.05702778,-102.1384722
"ST. CHARLES RIVER AT VINELAND, CO.",USGS-07108900,38.24555835,-104.4863597
ARKANSAS RIVER BL ROCKY FORD HIGHLINE HEADGATE,USGS-381317104135400,38.22139144,-104.2321877
SC02006430CBC,USGS-381653104361001,38.28136111,-104.60275
SC01306335CCA,USGS-385209104252001,38.86911944,-104.4222194
"COTTONWOOD CR TRIB AB RANGEWOOD DR AT CO SPRGS, CO",USGS-07103985,38.92916041,-104.7471974
MESA CREEK AT MOUTH AT RECREATION WAY AT CO SPRG,USGS-385124104495701,38.85658333,-104.8325
"N. ROCKRIMMON CR ABV DELMONICO DR. AT CO SPRGS, CO",USGS-07104050,38.91554824,-104.82581
"COTTONWOOD CR AT COWPOKE RD. AT COLO SPRINGS, CO",USGS-07103977,38.95110464,-104.7135857
SCO1506604ABA2 TH-50,USGS-384651104464801,38.7808275,-104.7805285
SC01506313BAC CHEROKEE 12,USGS-384506104235001,38.75163889,-104.3973611
SC01406402AAA,USGS-385159104310201,38.86643889,-104.5172194
S PINE CR (CLVRT 2 AQDCT) AT GODDARD ST AT CO SPRG,USGS-385640104481501,38.94430556,-104.8041111
"FOUNTAIN CR AT BELMONT STABLES NEAR PUEBLO, CO",USGS-382047104364001,38.3463904,-104.6116402
SC02205732BAA1,USGS-380552103484301,38.09788333,-103.8118667
SC02006431CAC,USGS-381533104353301,38.25922222,-104.5924444
"APISHAPA RIVER NEAR FOWLER, CO",USGS-07119500,38.1085,-103.9676111
"FOUNTAIN CR ABV RUXTON CR AT MANITOU SPRINGS, CO",USGS-385137104551001,38.86026818,-104.9199767
"ARKANSAS RIVER AT LA JUNTA, CO",USGS-07123000,37.99055556,-103.5319444
SC01406633DBB1 U-5,USGS-384718104465801,38.78832736,-104.7833065
SC02106303DCC,USGS-381430104254901,38.24158333,-104.4303611
COTTONWOOD CR DRAIN AT N ACADEMY BLVD NR YORK RD,USGS-385547104473601,38.92975,-104.7933611
"ARKANSAS R. AT ST CHARLES MESA DIVER. AT PUEBLO,CO",USGS-07099969,38.25361396,-104.6060854
SC01206727CAD2 FT001-MW001S,USGS-385825104524701,38.97361111,-104.8797222
HANNA RANCH SLUDGE DISPOSAL FACILITY SPRING,USGS-383620104414001,38.60555349,-104.6949731
SC01704415CCB,USGS-383426102204101,38.57388889,-102.3447222
SC01506603ABA TH-22,USGS-384648104454501,38.77999478,-104.7630284
SC01206230BBC ALLUVIAL 1,USGS-385848104230801,38.9796,-104.3855194
SC01406632AAA1,USGS-384743104474501,38.79527134,-104.7963623
FOUNTAIN CR 0.3 MI BLW RUXTON CR AT MANITOU SPGS,USGS-385126104545101,38.85734167,-104.9141083
26S-42W-18 BBO1   COS-1088,USGS-374535102110301,37.75972222,-102.1841667
SC02006231AAC  CAMW-02,USGS-381615104221101,38.27083527,-104.3702459
VALENCIA CR NR ORO BLANCO DR AT CO SPRNGS (CLVERT),USGS-385255104440501,38.88188889,-104.7347778
SC01506613ADD,USGS-384441104431401,38.74471802,-104.7210829
"APISHAPA RIVER AT HIGHWAY 50 NEAR FOWLER, COLO.",USGS-380715103564701,38.12083926,-103.9469019
"FOUNTAIN CREEK NR DILLON DR AND E. 29TH ST, PUEBLO",USGS-381754104361902,38.29847222,-104.6052222
SC01506603BAC1 MARS GAS,USGS-384639104461401,38.77749452,-104.771084
16TH HOLE VALLEY HI GOLF COURSE,USGS-384918104454201,38.82166114,-104.7621958
CAMP CREEK AT S 31ST ST NR COLO SPRINGS,USGS-385108104522001,38.85236111,-104.8722222
PINE CR DRAIN BRIARGATE PKY AT CO SPRNGS (CULVERT),USGS-385756104474501,38.96552778,-104.7958056
OUTFLO FRM WETLAND NR DAR ARCH AT FT BENT NHS CO,USGS-380249103253600,38.04694444,-103.4266667
SC01506602CCC2 U-9,USGS-384604104451502,38.76777297,-104.7546948
SC01506614BBA  TH-5,USGS-384503104451601,38.75082867,-104.7549723
"ARKANSAS RIVER NEAR NEPESTA, CO.",USGS-07117000,38.18417028,-104.1732974
SC01506604ABA1 U-7,USGS-384652104465101,38.78110524,-104.7813619
"L FOUNTAIN C AB KEATON RE, NR FORT CARSON, CO.",USGS-07105920,38.68166012,-104.8585855
W FORK ANTLER CR AT MERIDIAN RANCH BLVD NR FALCON,USGS-385822104360601,38.97267222,-104.6015722
"ANTLER CREEK AT DRAKE LAKE NEAR FALCON, CO",USGS-385629104344601,38.94129167,-104.5794028
SC01506613CBD2 U-14,USGS-384433104440702,38.74249574,-104.7358054
SC02106431DCD,USGS-381531104353601,38.25863889,-104.5934722
FOUNTAIN CREEK AT MOUTH NEAR PUEBLO,USGS-381515104351900,38.25416949,-104.5891404
SC01306231CBB,USGS-385227104231402,38.87428889,-104.3874972
MONUMENT CR TRIB 2 BELOW FILLMORE ST AT COLO SPRGS,USGS-385204104510101,38.86777778,-104.8511111
SC01706505BDD SCBD-8,USGS-383603104412701,38.60083134,-104.691362
SC01406204BAA,USGS-385202104203201,38.86729722,-104.3426444
SC02006227BAA  WS-02,USGS-381718104191701,38.28833474,-104.3219114
"COTTONWOOD CREEK AT WOODMEN RD NR COLO SPRINGS, CO",USGS-07103980,38.93943809,-104.7410863
SC02305431ABB1,USGS-380041103294900,38.01158333,-103.4975556
MONUMENT CR DRAIN 1 MARK DABLING BLVD AT CO SPRNG,USGS-385307104494401,38.88533333,-104.8289444
SC01406218BDC CO,USGS-385005104223501,38.83483333,-104.3764444
"MAIN IRRIGATION DITCH, NW CORNER FORT BENT NHS, CO",USGS-380240103260700,38.04444444,-103.4352778
SC01506613DDC1 U-15,USGS-384420104432601,38.73888475,-104.7244164
SC01706509DBA,USGS-383503104400901,38.58416494,-104.669695
SC01306405DCD QAL49,USGS-385630104343901,38.94161389,-104.5774611
CHESTNUT ST. & DOUGLAS CR,USGS-385347104500601,38.89638137,-104.8355319
"COTTONWOOD CK AT UNION BLVD, AT COLO SPRINGS, CO",USGS-07103987,38.93036111,-104.77615
WASATCH ST. & CROSS LANE,USGS-385118104485801,38.85499286,-104.8166417
SC01506603BBC TH-42,USGS-384640104463001,38.77777214,-104.7755284
"WILD HORSE CREEK AT MOUTH AT PUEBLO, CO",USGS-381628104381700,38.27444704,-104.6385862
SC01006307BCC DAWMAS27,USGS-391148104294101,39.19691667,-104.4949167
SC02205733DDD,USGS-380502103470200,38.0838,-103.7847083
WALMART AT 8TH ST.,USGS-384935104501501,38.82638115,-104.8380301
SC01506324DAB QAL14,USGS-384348104232201,38.73005278,-104.3908111
SC01506624BAD1 WIDEFIELD 4,USGS-384407104434801,38.73527366,-104.7305276
HANNA RANCH SLUDGE DISPOSAL SUPERNATANT LAGOON,USGS-383654104423001,38.61499777,-104.7088622
SC01506335AAA CHEROKEE 15,USGS-384230104241401,38.70831111,-104.4039194
SC01706505BCA1 SCBD-4,USGS-383610104414901,38.60277575,-104.6974732
"COLORADO SPRINGS WASTEWATER OUTFALL 001, CO",USGS-384848104483801,38.81332638,-104.811085
"SC01206713DDD7 USAF ACADEMY HUSTED RD, CO",USGS-390002104495301,39.00046389,-104.8314944
SC01506613CBD1 U-14B,USGS-384433104440701,38.74249574,-104.7358054
"HORSE CREEK NEAR LAS ANIMAS, CO",USGS-07123675,38.0850069,-103.3538237
SC02205418CBB,USGS-380810103303301,38.13611111,-103.5091111
BESSEMER DITCH AT ST. CHARLES WD NEAR PUEBLO CO,USGS-381312104321001,38.22011111,-104.5359722
CHEYENNE RUN TRIBUTARY AT COLO SPRINGS (CULVERT),USGS-384823104501601,38.80636111,-104.8376389
