Org_Identifier,Org_FormalName,ProviderName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC
USGS,U.S. Geological Survey,USGS,USGS-382003104223201,SC02006206DBC  OBMW-11,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3341675146543,-104.376078887887,NAD83,38.3341675146543,-104.376078887887,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,31.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384628104213601,SC01506205BDD,Well,,Colorado,United States of America,El Paso County,US,CO,,11020004,110200040204,,,38.77458055555555,-104.36011944444444,NAD83,38.77458055555555,-104.36011944444444,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111ALVM,,Holocene Alluvium,,,,,,92.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384628104450801,SCO1506602BDC,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7744396428223,-104.752750460187,NAD83,38.7744396428223,-104.752750460187,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,88.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384636104465401,SC01506604ACA TH-52,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7766607935563,-104.7821951139,NAD83,38.7766607935563,-104.7821951139,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111VLFL,,Valley-Fill Deposits,,,,,,21.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384639104452801,SCO1506603AAD,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7774949715795,-104.75830610104,NAD83,38.7774949715795,-104.75830610104,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,58.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384639104461401,SC01506603BAC1 MARS GAS,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7774945173594,-104.771083954253,NAD83,38.7774945173594,-104.771083954253,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111ALFP,,"Alluvium, Flood Plain",,,,,,85.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384640104463001,SC01506603BBC TH-42,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7777721353828,-104.775528430415,NAD83,38.7777721353828,-104.775528430415,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111VLFL,,Valley-Fill Deposits,,,,,,66.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382023104222301,SC02006206ACD  OBMW-05,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3397229589889,-104.373578791509,NAD83,38.3397229589889,-104.373578791509,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,28.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382023104222901,SC02006206ACC  OBMW-06,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3397229683295,-104.375245492872,NAD83,38.3397229683295,-104.375245492872,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,24.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382023104223401,SC02006206ACC  OBMW-07,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3397229761134,-104.376634410675,NAD83,38.3397229761134,-104.376634410675,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,12.5,ft,,,,,,,,,,
