Beta_Location_Name,Beta_Location_Identifier,Beta_Lat,Beta_Long,Old_MonitoringLocationName,Old_MonitoringLocationIdentifier,Old_Lat,Old_Long,Distance_Degrees,Distance_Meters,Names_Match,IDs_Match
MARKHAM ARROYO,NARS_WQX-WCOP01-0817,38.12672893,-102.6091983,MARKHAM ARROYO,NARS_WQX-WCOP01-0817,38.12673,-102.6092,2.0087060516814824e-06,0.22296637173664455,True,True
"TRILWWTF, station:TRILWWTF_EFF",21COL001_WQX-CO0020435-EFF,39.07004805,-104.8745325,"TRILWWTF, station:TRILWWTF_EFF",21COL001_WQX-CO0020435-EFF,39.07005,-104.874533,2.0130822184730746e-06,0.22345212625051128,True,True
MONUMENT CREEK D/S TRI-LAKES WWTP,21COL001_WQX-7304,39.06860304,-104.8734825,MONUMENT CREEK D/S TRI-LAKES WWTP,21COL001_WQX-7304,39.068605,-104.873483,2.022770375950545e-06,0.22452751173051053,True,True
ARKANSAS R. NR LAMAR HWY 50/287 BRIDGE,21COL001_WQX-7808,38.1060259,-102.6190753,ARKANSAS R. NR LAMAR HWY 50/287 BRIDGE,21COL001_WQX-7808,38.106027,-102.619077,2.024845671177623e-06,0.22475786950071616,True,True
APACHE CREEK JUST N OF CR 2N (OR CR 46) ON HWY 71,21COL001_WQX-7813,39.02937629,-103.7017889,APACHE CREEK JUST N OF CR 2N (OR CR 46) ON HWY 71,21COL001_WQX-7813,39.029378,-103.70179,2.033248634702461e-06,0.22569059845197315,True,True
SOUTH RUSH CREEK NEAR PUNKIN CENTER,21COL001_WQX-7998,38.93229417,-103.7582951,SOUTH RUSH CREEK NEAR PUNKIN CENTER,21COL001_WQX-7998,38.932296,-103.758296,2.0393381314036714e-06,0.22636653258580752,True,True
"WILEY DRAINAGE DITCH, D/S OF TOWN OF WILEY",21COL001_WQX-7816B,38.14306273,-102.7112024,"WILEY DRAINAGE DITCH, D/S OF TOWN OF WILEY",21COL001_WQX-7816B,38.143064,-102.711204,2.0427677261789312e-06,0.22674721760586136,True,True
WILEY SANITATION DISTRICT EFFLUENT,21COL001_WQX-COG589007-EFF,38.15360973,-102.7197204,WILEY SANITATION DISTRICT EFFLUENT,21COL001_WQX-COG589007-EFF,38.153611,-102.719722,2.0427677328921146e-06,0.2267472183510247,True,True
COG589065 Elbert WSD WWTF Effluent,21COL001_WQX-COG589065-EFF,39.22168304,-104.5327114,COG589065 Elbert WSD WWTF Effluent,21COL001_WQX-COG589065-EFF,39.221685,-104.532712,2.049780476904656e-06,0.2275256329364168,True,True
JACKSON CREEK AT JACKSON CREEK RD,21COL001_WQX-7308,39.05859002,-104.8458124,JACKSON CREEK AT JACKSON CREEK RD,21COL001_WQX-7308,39.058592,-104.845813,2.0689127603653007e-06,0.22964931640054836,True,True
COG589020 Academy WSD WWTF Discharge Point 001A Effluent,21COL001_WQX-COG589020-EFF,39.05269801,-104.7938994,COG589020 Academy WSD WWTF Discharge Point 001A Effluent,21COL001_WQX-COG589020-EFF,39.0527,-104.7939,2.0784850243026605e-06,0.23071183769759532,True,True
"TRILWWTF, station:TRILWWTF_DWNSTRM",21COL001_WQX-CO0020435-D/S,39.05614801,-104.8628324,"TRILWWTF, station:TRILWWTF_DWNSTRM",21COL001_WQX-CO0020435-D/S,39.05615,-104.862833,2.0784850243026605e-06,0.23071183769759532,True,True
"CO0042030 Upper Monument Creek WWTF, station:UMCRWWTF_EFF",21COL001_WQX-CO0042030-EFF,39.04293098,-104.8526994,"CO0042030 Upper Monument Creek WWTF, station:UMCRWWTF_EFF",21COL001_WQX-CO0042030-EFF,39.042933,-104.8527,2.1072256589284278e-06,0.23390204814105547,True,True
"Monument Creek UMCRWWTF, station:UMCRWWTF_UPSTRM",21COL001_WQX-CO0042030-U/S,39.04217597,-104.8525184,"Monument Creek UMCRWWTF, station:UMCRWWTF_UPSTRM",21COL001_WQX-CO0042030-U/S,39.042178,-104.852519,2.1168136427165093e-06,0.23496631434153253,True,True
"Monument Creek UMCRWWTF, station:UMCRWWTF_DWNSTRM",21COL001_WQX-CO0042030-D/S,39.03102594,-104.8466104,"Monument Creek UMCRWWTF, station:UMCRWWTF_DWNSTRM",21COL001_WQX-CO0042030-D/S,39.031028,-104.846611,2.1456001470475305e-06,0.2381616163222759,True,True
CO0048429 Edith Wolford Academy School/District 20 WWTF Effluent,21COL001_WQX-CO0048429-EFF,39.02855694,-104.7021092,CO0048429 Edith Wolford Academy School/District 20 WWTF Effluent,21COL001_WQX-CO0048429-EFF,39.028559,-104.70211,2.2098868782378035e-06,0.2452974434843962,True,True
STEELS FORK AT CTY RD 11,21COL001_WQX-7527,38.69383892,-103.8687381,STEELS FORK AT CTY RD 11,21COL001_WQX-7527,38.693841,-103.868739,2.26636272751555e-06,0.25156626275422606,True,True
GRAVEYARD CREEK AT 5TH ST. WEST OF LAMAR,21COL001_WQX-7821,38.09985846,-102.7919892,GRAVEYARD CREEK AT 5TH ST. WEST OF LAMAR,21COL001_WQX-7821,38.09986,-102.791991,2.3688815867275833e-06,0.26294585612676175,True,True
Monument Creek U/S of USAF Academy WWTF,21COL001_WQX-CO0020974-U/S,38.98560776,-104.8293932,Monument Creek U/S of USAF Academy WWTF,21COL001_WQX-CO0020974-U/S,38.98561,-104.829394,2.3785709984982223e-06,0.2640213808333027,True,True
CO0020974 US Air Force Academy Effluent Sample Location for 001A and 001B,21COL001_WQX-CO0020974-EFF,38.98401375,-104.8297452,CO0020974 US Air Force Academy Effluent Sample Location for 001A and 001B,21COL001_WQX-CO0020974-EFF,38.984016,-104.829746,2.3879907802706586e-06,0.2650669766100431,True,True
MCCLAVE DRAINAGE DITCH OUTLET,21COL001_WQX-7806D,38.09204135,-102.8211712,MCCLAVE DRAINAGE DITCH OUTLET,21COL001_WQX-7806D,38.092043,-102.821173,2.4418230906701553e-06,0.2710423630643872,True,True
COG589031 Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG589031-EFF,39.14633082,-104.0773317,COG589031 Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG589031-EFF,39.146333,-104.077333,2.538188323398425e-06,0.28173890389722517,True,True
Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG591031-EFF,39.14633082,-104.0773317,Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG591031-EFF,39.146333,-104.077333,2.538188323398425e-06,0.28173890389722517,True,True
COG589031 Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG589031-EFF,39.14633082,-104.0773317,Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG591031-EFF,39.146333,-104.077333,2.538188323398425e-06,0.28173890389722517,False,False
Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG591031-EFF,39.14633082,-104.0773317,COG589031 Town of Simla WWTF Effluent Discharge,21COL001_WQX-COG589031-EFF,39.146333,-104.077333,2.538188323398425e-06,0.28173890389722517,False,False
MUD CK. @ HWY 385,21COL001_WQX-7806,38.07069225,-102.8413311,MUD CK. @ HWY 385,21COL001_WQX-7806,38.070694,-102.841333,2.583118273090996e-06,0.28672612831310057,True,True
ARKANSAS RIVER BELOW CR 30,21COL001_WQX-7806E,38.08539124,-102.8509391,ARKANSAS RIVER BELOW CR 30,21COL001_WQX-7806E,38.085393,-102.850941,2.5899034761440073e-06,0.2874792858519848,True,True
WEST MONUMENT CREEK,NARS_WQX-WCOP01-0775,38.9639976,-104.844999,WEST MONUMENT CREEK,NARS_WQX-WCOP01-0775,38.964,-104.845,2.599999998682716e-06,0.2885999998537815,True,True
WEST MONUMENT CREEK AT MOUTH,21COL001_WQX-7382,38.95894956,-104.836711,WEST MONUMENT CREEK AT MOUTH,21COL001_WQX-7382,38.958952,-104.836712,2.636967956388219e-06,0.2927034431590923,True,True
"WMHMD, station:WMHMD_EFF",21COL001_WQX-CO0047091-EFF,38.9699006,-104.5918206,"WMHMD, station:WMHMD_EFF",21COL001_WQX-CO0047091-EFF,38.969903,-104.591822,2.7784887914887027e-06,0.308412255855246,True,True
"WMHMD, station:WMHMD_UPSTRM",21COL001_WQX-CO0047091-U/S,38.9699866,-104.5918656,"WMHMD, station:WMHMD_UPSTRM",21COL001_WQX-CO0047091-U/S,38.969989,-104.591867,2.7784887914887027e-06,0.308412255855246,True,True
SEVERY CREEK AT MOUTH,21COL001_WQX-7392,38.89763931,-104.9883643,SEVERY CREEK AT MOUTH,21COL001_WQX-7392,38.897642,-104.988365,2.7795862957766936e-06,0.308534078831213,True,True
ADOBE CREEK RESERVOIR SITE 3 TOP,21COL001_WQX-7825C,38.27595042,-103.2208769,ADOBE CREEK RESERVOIR SITE 3 TOP,21COL001_WQX-7825C,38.275953,-103.220878,2.804710326260855e-06,0.3113228462149549,True,True
Town of Calhan WWTF Effluent Discharge,21COL001_WQX-COG589018-EFF,39.043969,-104.285527,Town of Calhan WWTF Effluent Discharge,21COL001_WQX-COG589018-EFF,39.043971,-104.285529,2.828427122629394e-06,0.3139554106118627,True,True
